company_name,company_url,company_description,yc_launch_date,company_presentation_file,gpt_wrapper_estimate_index
Hyperbound,https://hyperbound.ai,🚀 Hyperbound: Hyper-personalize your sales emails at scale,"July 24, 2023",Hyperbound.txt,
Finta,https://www.finta.com/,📘Finta: Accounting platform for startups,"July 24, 2023",Finta.txt,
Tempo Labs,https://www.tempolabs.ai/,Tempo Labs - Build UIs 10X faster with AI,"July 24, 2023",Tempo Labs.txt,
Aquarium Learning,https://www.aquariumlearning.com/,Tidepool 🌊 - Product analytics for AI apps,"July 24, 2023",Aquarium Learning.txt,
Neum AI,https://neum.ai,Neum AI - ETL for LLMs,"July 24, 2023",Neum AI.txt,
Trayd,https://www.buildtrayd.com/,Trayd 🏗️ Construction payroll designed for same-day pay,"July 24, 2023",Trayd.txt,
Xeol,https://www.xeol.io/,🌌 Xeol - Modern platform for software supply chain security,"July 23, 2023",Xeol.txt,
Decoda Health,https://decoda.health/,Decoda Health: Autonomous Medical Coding & Billing,"July 21, 2023",Decoda Health.txt,
Revamp,https://www.getrevamp.ai,📈 Revamp: Smarter customer segmentation for eCommerce,"July 21, 2023",Revamp.txt,
Giga ML,https://gigaml.co/,Giga ML: Secure on-premise LLMs for enterprises,"July 21, 2023",Giga ML.txt,
atla,https://www.atla-ai.com/,atla - honest AI assistants for legal teams,"July 21, 2023",atla.txt,
Sidenote,https://www.sidenote.ai,"✍️ Sidenote: Meeting follow-up, automated","July 20, 2023",Sidenote.txt,
Elyos Energy,https://www.elyosenergy.com,Elyos Energy - The platform for energy flexibility and demand response ⚡,"July 20, 2023",Elyos Energy.txt,
Coba,https://www.coba.ai,Coba 🇺🇸💸🇲🇽 — Dual currency accounts for LatAm,"July 20, 2023",Coba.txt,
Talc,https://talc.ai,Talc: Debugger for your LLMs,"July 20, 2023",Talc.txt,
Spine AI,https://www.getspine.ai,🚀 Spine AI – Propel your products forward with AI copilots,"July 20, 2023",Spine AI.txt,
Fiber AI,https://fiber.ai/,🤝 Fiber AI - Drive revenue growth faster with AI-powered marketing automations,"July 20, 2023",Fiber AI.txt,
Shadeform,https://www.shadeform.ai/,Shadeform: Unifying ML infra across clouds - solving for the GPU shortage,"July 19, 2023",Shadeform.txt,
Martola,http://www.marto.la,Martola – Save time and money on procurement,"July 19, 2023",Martola.txt,
ztool,https://ztool.co/,ZTool - Create scrapers & scripts with just a few words,"July 19, 2023",ztool.txt,
